ht,un,upn,wn,vn,at,gr,is,eg,ws,tt,ct,tw_pp,wt,tr_pt,ts,fep,tc,tf,te,we,ce,ep
Barind,Bholahat,Jambaria ,1,Fatehpur,Rural ,Male,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),300,Manually with buckets
Barind,Bholahat,Jambaria ,1,Fatehpur,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Smooth earth/mud,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Jambaria ,1,Fatehpur,Rural ,Male,Agriculture ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Smooth earth/mud,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Jambaria ,1,Fatehpur,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Barind,Bholahat,Jambaria ,1,Fatehpur,Rural ,Female,Agriculture ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Barind,Bholahat,Jambaria ,1,Fatehpur,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Jambaria ,1,Fatehpur,Rural ,Male,Day labour ,Bengali,Hard-core poor,Dry toilet,Single pit,Walls exist but do not provide adequate privacy,Thatch/grass/reeds,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Haor,Baniachong,Baraiuri,9,Kodopur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,Manually with buckets
Barind,Tanore,Soronjai,9,Soronjai(mondol para),Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Mud blocks,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),300,Manually with buckets
Haor,Baniachong,Baraiuri,9,Kadupur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Tanore,Soronjai,9,Soronjai(mondal para),Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Baniachong,Baraiuri,9,Kodopur,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Baniachong,Baraiuri,9,Kadupur,Rural ,Male,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1000,Manually with buckets
Barind,Tanore,Soronjai,9,Soronjai ,Rural ,Male,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),200,Manually with buckets
Haor,Itna, Itna,4,Itna,Rural ,Male,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Double pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Itna, Itna,4,Itna,Rural ,Female,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Tanore,Soronjai,9,Soronjai (mondol para),Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Itna, Itna,4,Itna,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Flood Plains,Melandaha,Jhaugora ,4,Rehai  palashtara,Rural ,Female,Other (please specify),Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Flood Plains,Melandaha,Jhaugora ,4,Rehai palashtala,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Flood Plains,Sarishabari,Pogoldigha,7,Pogaldigha,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),3000,Manually with buckets
Flood Plains,Sarishabari,Pogoldigha,7,Pogaldigha,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),2000,Manually with buckets
Barind,Bholahat,Jambaria ,1,Fatehpur,Rural ,Male,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Never emptied,,,
Barind,Bholahat,Jambaria ,1,Fatehpur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Bholahat,Jambaria ,1,Fatehpur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Barind,Bholahat,Jambaria ,1,Fatehpur,Rural ,Male,Agriculture ,Bengali,Poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),600,Manually with buckets
Barind,Bholahat,Jambaria ,1,Fatehpur,Rural ,Male,Agriculture ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Barind,Niamatpur,Hazinagar,5,Hazinagar,Rural ,Male,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Double pit offset ,No walls,,No roof,No slab/floor (open pit),Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Never emptied,,,
Haor,Jagannathpur,Jagannathpur,3,Sahlepur,Urban ,Female,Agriculture ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,3,salehpur,Urban ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Flood Plains,Melandaha,Jhaugora ,4, Rehai Polashtala,Rural ,Female,Other (please specify),Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Flood Plains,Melandaha,Jhaugora ,4,Rehai palashtala,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Thatch/grass/reeds,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,Household members ,,Manually with buckets
Barind,Niamatpur,Hazinagar,5,Hajinogor,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Haor,Jagannathpur,Jagannathpur,3,Salehpur,Urban ,Male,Non-government Service ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,3,Sahlepur,Urban ,Female,Non-government Service ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Niamatpur,Hazinagar,5,Hazinagar,Rural ,Female,Agriculture ,Bengali,Poor ,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Niamatpur,Hazinagar,5,Hajinogor,Rural ,Male,Government Service ,Bengali,Non-poor ,Flush toilet,Container tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,3,Sahlepur,Urban ,Male,Agriculture ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,3,Salehpur,Urban ,Male,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Ajmiriganj,Ajmiriganj,3,Nowabda,Urban ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Plastic sheet,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible",No - toilet is collapsed/abandoned,Yes emptied,Household members ,,Manually with buckets
Barind,Niamatpur,Hazinagar,5,Hazinagar,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,3,Sahlepur,Urban ,Female,Government Service ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Ajmiriganj,Ajmiriganj,3,Vieat nowada,Urban ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1500,Manually with buckets
Barind,Tanore,Soronjai,9,Soronjai mondol para,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Ajmiriganj,Ajmiriganj,3,Nowabda,Urban ,Female,Other (please specify),Bengali,Hard-core poor,,,,,,,,,,,,,
Haor,Baniachong,Baraiuri,9,kodopur,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Double pit offset ,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Sapahar,Goala,8,Birampur ,Rural ,Male,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1300,Manually with buckets
Barind,Niamatpur,Hazinagar,5,Hajinogor,Rural ,Male,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1200,With a hand pump (or gulper device)
Barind,Niamatpur,Hazinagar,5,Hajinogor,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit offset ,"Yes, walls exist and provide privacy",Mud blocks,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1800,Manually with buckets
Barind,Sapahar,Goala,8,Birampur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit offset ,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),800,Manually with buckets
Haor,Ajmiriganj,Ajmiriganj,3,Virtar nowabda,Urban ,Female,Agriculture ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Thatch/grass/reeds,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, not clean due to other reason (please specify)","Yes, fully functional",,,,
Haor,Itna, Itna,4,Itna,Rural ,Male,Day labour ,Bengali,Poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Cloth/sack,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Sapahar,Goala,8,Birampur ,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),800,Manually with buckets
Haor,Baniachong,Baraiuri,9,Kadupur,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Itna, Itna,4,Itna,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Brick masonry,No roof,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,3,Salehpur,Urban ,Male,Non-government Service ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Itna, Itna,4,Itna,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Pit/tank with channel to open drain or water bodies,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,3,Sahlepur,Urban ,Female,Non-government Service ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Tanore,Soronjai,9,Soronjai mondol para,Rural ,Female,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Mud blocks,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),400,Manually with buckets
Haor,Ajmiriganj,Ajmiriganj,3,Nowabda,Urban ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Plastic sheet,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,Household members ,,Other (please specify)
Barind,Sapahar,Goala,8,Birampur,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,Manually with buckets
Barind,Sapahar,Goala,8,Birampur ,Rural ,Female,Other (please specify),Bengali,Hard-core poor,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),800,Manually with buckets
Haor,Jagannathpur,Jagannathpur,3,Salehpur,Urban ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),3000,Manually with buckets
Haor,Baniachong,Baraiuri,9,Kadupur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1300,With a hand pump (or gulper device)
Haor,Ajmiriganj,Ajmiriganj,3,Niyobda,Urban ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Flush toilet,Container tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Niamatpur,Hazinagar,5,Hajinogor,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Niamatpur,Hazinagar,5,Hajinogor,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Mud blocks,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1500,Manually with buckets
Haor,Baniachong,Baraiuri,9,Kadupur,Rural ,Male,Other (please specify),Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),550,Manually with buckets
Haor,Jagannathpur,Jagannathpur,3,Sahlepur,Urban ,Female,Agriculture ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Barind,Sapahar,Goala,8,Birampur ,Rural ,Male,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Cloth/sack,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Jagannathpur,Jagannathpur,3,Salehpur,Urban ,Female,"Large business (capital more than BDT 250,000) ",Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Barind,Tanore,Soronjai,9,Soronjai mondol para,Rural ,Male,Agriculture ,Bengali,Poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),300,With a hand pump (or gulper device)
Barind,Tanore,Soronjai,9,Soronjai mondol para,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Mud blocks,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,With a hand pump (or gulper device)
Barind,Niamatpur,Hazinagar,5,Hajinogor,Rural ,Male,Day labour ,Bengali,Hard-core poor,,,Walls exist but do not provide adequate privacy,Metal sheet,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",,,,
Barind,Sapahar,Goala,8,Birampur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit offset ,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Itna, Itna,4,Itna,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,Yes,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1200,Manually with buckets
Barind,Sapahar,Goala,8,Birampur ,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Haor,Baniachong,Baraiuri,9,Kodopur,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Haor,Itna, Itna,4,Itna,Rural ,Male,Day labour ,Bengali,Poor ,Pour-flush toilet,Double pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),2000,Manually with buckets
Haor,Baniachong,Baraiuri,9,Kadupur ,Rural ,Male,Day labour ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,Manually with buckets
Barind,Niamatpur,Hazinagar,5,Hajinogor,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Double pit offset ,"Yes, walls exist and provide privacy",Brick masonry,Roof exists but is not adequate to protect from rain,Brick masonry,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
